playerID,birthYear,nameGiven,weight,height,bats,throws
ainsmed01,1890,Edward Wilbur,180,71,R,R
ainswku01,1978,Kurt Harold,192,75,R,R
aitchra01,1887,Raleigh Leonidas,175,71,R,L
aitonge01,1890,George Wilson,175,71,B,R
akejo01,1861,John Leckie,180,73,R,R
akerfda01,1962,Darrel Wayne,210,74,R,R
akerja01,1940,Jackie Delane,190,74,R,R
akersbi01,1904,William G.,178,71,R,R
akersje01,1887,Albert Earl,175,71,R,R
albagi01,1960,Gibson Alberto,160,74,L,L
albaljo01,1982,Jonathan,270,77,R,R
albanjo01,1933,Joseph Peter,215,75,R,R
alberan01,1985,Andrew William,200,73,R,L
alberbu01,1950,Francis Burt,205,74,R,R
albercy01,1882,Frederick Joseph,230,72,R,R
albergu01,1860,Augustus Peter,180,66,R,R
alberha01,1992,Hanser Joel,215,71,R,R
alberjo01,1969,Jose Edgardo,190,74,R,R
alberma01,1983,Matthew James,225,73,L,R
albosed01,1918,Edward John,175,73,R,R
albreed01,1929,Edward Arthur,165,70,R,R
albrija01,1921,Harold John,175,69,R,R
albural01,1986,Alberto Jose,195,72,R,R
alburvi01,1947,Victor,190,72,L,L
alcalsa01,1952,Santo,195,77,R,R
alcanar01,1991,Arismendy,170,70,B,R
alcanis01,1973,Israel,180,74,R,R
alcarlu01,1941,Angel Luis,165,69,R,R
alcocsc01,1885,John Forbes,160,69,R,R
alderda01,1918,Dale Leonard,190,70,R,R
aldremi01,1961,Michael Peter,180,71,L,L
aldresc01,1968,Scott Phillip,195,76,L,L
aldrico01,1979,Cory Jerome,210,72,L,R
aldrija01,1961,Jay Robert,210,75,R,R
aldrivi01,1893,Victor,175,69,R,R
alenoch01,1917,Charles,215,73,R,R
alexabo01,1922,Robert Somerville,205,74,R,R
alexada01,1903,David Dale,210,75,R,R
alexado01,1950,Doyle Lafayette,190,75,R,R
alexaga01,1953,Gary Wayne,195,74,R,R
alexage01,1968,Gerald Paul,190,71,R,R
alexahu01,1917,Hugh,190,72,R,R
alexama01,1947,Matthew,168,71,B,R
alexama02,1971,Manuel de Jesus,150,70,R,R
alexani01,1858,William Henry,163,64,R,R
alexape01,1887,Grover Cleveland,185,73,R,R
alexasc01,1989,Scott Alain,190,74,L,L
alexawa01,1891,Walter Ernest,165,70,R,R
alfarja01,1977,Jason,185,70,R,R
alfonan01,1972,Antonio,250,77,R,R
alfoned01,1973,Edgardo Antonio,210,71,R,R
alfonel01,1979,Eliezer Jesus,220,71,R,R
alicelu01,1965,Luis Rene,165,69,B,R
allanan01,1961,Andrew Neal,220,77,R,R
allarbr01,1958,Brian Marshall,175,73,R,R
allenbe01,1939,Bernard Keith,175,72,L,R
allenbo01,1867,Robert Gilman,175,71,R,R
